# Assembly name:  ASM1834038v1
# Organism name:  Cyprinus carpio (common carp)
# Isolate:  SPL01
# Taxid:          7962
# BioSample:      SAMN17005855
# BioProject:     PRJNA682709
# Submitter:      Chinese Academy of Fishery Sciences
# Date:           2021-05-12
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAEOAB01
# Assembly method: wtdbg v. 2; quickmerge v. 1
# Expected final version: Yes
# Genome coverage: 184.8x
# Sequencing technology: PacBio; Oxford Nanopore; Illumina HiSeq
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_018340385.1
# RefSeq assembly accession: GCF_018340385.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_018340415.1	GCF_018340415.1	Primary Assembly
## GCA_018340445.1	GCF_000029015.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
S000000189	unplaced-scaffold	na	na	JAEOAB010000235.1	=	NW_024872939.1	Primary Assembly	31019	na
S000000190	unplaced-scaffold	na	na	JAEOAB010000236.1	=	NW_024872940.1	Primary Assembly	8854	na
S000000191	unplaced-scaffold	na	na	JAEOAB010000237.1	=	NW_024872941.1	Primary Assembly	20072	na
S000000192	unplaced-scaffold	na	na	JAEOAB010000238.1	=	NW_024872942.1	Primary Assembly	24795	na
S000000193	unplaced-scaffold	na	na	JAEOAB010000239.1	=	NW_024872943.1	Primary Assembly	4778	na
S000000194	unplaced-scaffold	na	na	JAEOAB010000240.1	=	NW_024872944.1	Primary Assembly	9416	na
S000000195	unplaced-scaffold	na	na	JAEOAB010000241.1	=	NW_024872945.1	Primary Assembly	28991	na
S000000196	unplaced-scaffold	na	na	JAEOAB010000242.1	=	NW_024872946.1	Primary Assembly	13669	na
S000000197	unplaced-scaffold	na	na	JAEOAB010000243.1	=	NW_024872947.1	Primary Assembly	6706	na
S000000198	unplaced-scaffold	na	na	JAEOAB010000244.1	=	NW_024872948.1	Primary Assembly	17542	na
S000000199	unplaced-scaffold	na	na	JAEOAB010000245.1	=	NW_024872949.1	Primary Assembly	26013	na
S000000200	unplaced-scaffold	na	na	JAEOAB010000246.1	=	NW_024872950.1	Primary Assembly	4563	na
S000000201	unplaced-scaffold	na	na	JAEOAB010000247.1	=	NW_024872951.1	Primary Assembly	18702	na
S000000203	unplaced-scaffold	na	na	JAEOAB010000248.1	=	NW_024872952.1	Primary Assembly	14607	na
S000000204	unplaced-scaffold	na	na	JAEOAB010000249.1	=	NW_024872953.1	Primary Assembly	15582	na
S000000205	unplaced-scaffold	na	na	JAEOAB010000250.1	=	NW_024872954.1	Primary Assembly	11662	na
S000000206	unplaced-scaffold	na	na	JAEOAB010000251.1	=	NW_024872955.1	Primary Assembly	19021	na
S000000207	unplaced-scaffold	na	na	JAEOAB010000252.1	=	NW_024872956.1	Primary Assembly	31499	na
S000000208	unplaced-scaffold	na	na	JAEOAB010000253.1	=	NW_024872957.1	Primary Assembly	336	na
S000000209	unplaced-scaffold	na	na	JAEOAB010000254.1	=	NW_024872958.1	Primary Assembly	5822	na
S000000210	unplaced-scaffold	na	na	JAEOAB010000255.1	=	NW_024872959.1	Primary Assembly	3856	na
S000000211	unplaced-scaffold	na	na	JAEOAB010000256.1	=	NW_024872960.1	Primary Assembly	5571	na
S000000212	unplaced-scaffold	na	na	JAEOAB010000257.1	=	NW_024872961.1	Primary Assembly	16295	na
S000000213	unplaced-scaffold	na	na	JAEOAB010000258.1	=	NW_024872962.1	Primary Assembly	11580	na
S000000214	unplaced-scaffold	na	na	JAEOAB010000259.1	=	NW_024872963.1	Primary Assembly	2467	na
S000000215	unplaced-scaffold	na	na	JAEOAB010000260.1	=	NW_024872964.1	Primary Assembly	1185	na
S000000216	unplaced-scaffold	na	na	JAEOAB010000261.1	=	NW_024872965.1	Primary Assembly	13476	na
S000000217	unplaced-scaffold	na	na	JAEOAB010000262.1	=	NW_024872966.1	Primary Assembly	13902	na
S000000218	unplaced-scaffold	na	na	JAEOAB010000263.1	=	NW_024872967.1	Primary Assembly	23907	na
S000000219	unplaced-scaffold	na	na	JAEOAB010000264.1	=	NW_024872968.1	Primary Assembly	2766	na
S000000220	unplaced-scaffold	na	na	JAEOAB010000265.1	=	NW_024872969.1	Primary Assembly	549	na
S000000221	unplaced-scaffold	na	na	JAEOAB010000266.1	=	NW_024872970.1	Primary Assembly	5201	na
S000000222	unplaced-scaffold	na	na	JAEOAB010000267.1	=	NW_024872971.1	Primary Assembly	2659	na
S000000223	unplaced-scaffold	na	na	JAEOAB010000268.1	=	NW_024872972.1	Primary Assembly	9204	na
S000000224	unplaced-scaffold	na	na	JAEOAB010000269.1	=	NW_024872973.1	Primary Assembly	7501	na
S000000225	unplaced-scaffold	na	na	JAEOAB010000270.1	=	NW_024872974.1	Primary Assembly	1147	na
S000000226	unplaced-scaffold	na	na	JAEOAB010000271.1	=	NW_024872975.1	Primary Assembly	1963	na
S000000227	unplaced-scaffold	na	na	JAEOAB010000272.1	=	NW_024872976.1	Primary Assembly	6171	na
S000000228	unplaced-scaffold	na	na	JAEOAB010000273.1	=	NW_024872977.1	Primary Assembly	1674	na
S000000229	unplaced-scaffold	na	na	JAEOAB010000274.1	=	NW_024872978.1	Primary Assembly	34947	na
S000000230	unplaced-scaffold	na	na	JAEOAB010000275.1	=	NW_024872979.1	Primary Assembly	3171	na
S000000231	unplaced-scaffold	na	na	JAEOAB010000276.1	=	NW_024872980.1	Primary Assembly	2030	na
S000000232	unplaced-scaffold	na	na	JAEOAB010000277.1	=	NW_024872981.1	Primary Assembly	3792	na
S000000233	unplaced-scaffold	na	na	JAEOAB010000278.1	=	NW_024872982.1	Primary Assembly	1346	na
S000000234	unplaced-scaffold	na	na	JAEOAB010000279.1	=	NW_024872983.1	Primary Assembly	1733	na
S000000235	unplaced-scaffold	na	na	JAEOAB010000280.1	=	NW_024872984.1	Primary Assembly	8564	na
S000000236	unplaced-scaffold	na	na	JAEOAB010000281.1	=	NW_024872985.1	Primary Assembly	2177	na
S000000237	unplaced-scaffold	na	na	JAEOAB010000282.1	=	NW_024872986.1	Primary Assembly	1760	na
S000000238	unplaced-scaffold	na	na	JAEOAB010000283.1	=	NW_024872987.1	Primary Assembly	4155	na
S000000239	unplaced-scaffold	na	na	JAEOAB010000284.1	=	NW_024872988.1	Primary Assembly	4167	na
S000000240	unplaced-scaffold	na	na	JAEOAB010000285.1	=	NW_024872989.1	Primary Assembly	3614	na
S000000241	unplaced-scaffold	na	na	JAEOAB010000286.1	=	NW_024872990.1	Primary Assembly	5357	na
S000000242	unplaced-scaffold	na	na	JAEOAB010000287.1	=	NW_024872991.1	Primary Assembly	925	na
S000000243	unplaced-scaffold	na	na	JAEOAB010000288.1	=	NW_024872992.1	Primary Assembly	2640	na
S000000244	unplaced-scaffold	na	na	JAEOAB010000289.1	=	NW_024872993.1	Primary Assembly	3172	na
S000000245	unplaced-scaffold	na	na	JAEOAB010000290.1	=	NW_024872994.1	Primary Assembly	1801	na
S000000246	unplaced-scaffold	na	na	JAEOAB010000291.1	=	NW_024872995.1	Primary Assembly	4259	na
S000000247	unplaced-scaffold	na	na	JAEOAB010000292.1	=	NW_024872996.1	Primary Assembly	1983	na
S000000248	unplaced-scaffold	na	na	JAEOAB010000293.1	=	NW_024872997.1	Primary Assembly	1633	na
S000000249	unplaced-scaffold	na	na	JAEOAB010000294.1	=	NW_024872998.1	Primary Assembly	2623	na
S000000250	unplaced-scaffold	na	na	JAEOAB010000295.1	=	NW_024872999.1	Primary Assembly	4098	na
S000000252	unplaced-scaffold	na	na	JAEOAB010000297.1	=	NW_024873000.1	Primary Assembly	1449	na
S000000253	unplaced-scaffold	na	na	JAEOAB010000298.1	=	NW_024873001.1	Primary Assembly	1898	na
S000000254	unplaced-scaffold	na	na	JAEOAB010000299.1	=	NW_024873002.1	Primary Assembly	2140	na
S000000255	unplaced-scaffold	na	na	JAEOAB010000300.1	=	NW_024873003.1	Primary Assembly	3631	na
S000000256	unplaced-scaffold	na	na	JAEOAB010000301.1	=	NW_024873004.1	Primary Assembly	34528	na
S000000257	unplaced-scaffold	na	na	JAEOAB010000302.1	=	NW_024873005.1	Primary Assembly	31690	na
S000000258	unplaced-scaffold	na	na	JAEOAB010000303.1	=	NW_024873006.1	Primary Assembly	2086	na
S000000259	unplaced-scaffold	na	na	JAEOAB010000304.1	=	NW_024873007.1	Primary Assembly	28617	na
S000000260	unplaced-scaffold	na	na	JAEOAB010000305.1	=	NW_024873008.1	Primary Assembly	6280	na
S000000261	unplaced-scaffold	na	na	JAEOAB010000306.1	=	NW_024873009.1	Primary Assembly	6935	na
S000000262	unplaced-scaffold	na	na	JAEOAB010000307.1	=	NW_024873010.1	Primary Assembly	27433	na
S000000263	unplaced-scaffold	na	na	JAEOAB010000308.1	=	NW_024873011.1	Primary Assembly	30486	na
S000000264	unplaced-scaffold	na	na	JAEOAB010000309.1	=	NW_024873012.1	Primary Assembly	26225	na
S000000265	unplaced-scaffold	na	na	JAEOAB010000310.1	=	NW_024873013.1	Primary Assembly	6790	na
S000000266	unplaced-scaffold	na	na	JAEOAB010000311.1	=	NW_024873014.1	Primary Assembly	25268	na
S000000267	unplaced-scaffold	na	na	JAEOAB010000312.1	=	NW_024873015.1	Primary Assembly	2610	na
S000000268	unplaced-scaffold	na	na	JAEOAB010000313.1	=	NW_024873016.1	Primary Assembly	23588	na
S000000269	unplaced-scaffold	na	na	JAEOAB010000314.1	=	NW_024873017.1	Primary Assembly	22280	na
S000000270	unplaced-scaffold	na	na	JAEOAB010000315.1	=	NW_024873018.1	Primary Assembly	2022	na
S000000271	unplaced-scaffold	na	na	JAEOAB010000316.1	=	NW_024873019.1	Primary Assembly	23156	na
S000000272	unplaced-scaffold	na	na	JAEOAB010000317.1	=	NW_024873020.1	Primary Assembly	16825	na
S000000273	unplaced-scaffold	na	na	JAEOAB010000318.1	=	NW_024873021.1	Primary Assembly	22215	na
S000000274	unplaced-scaffold	na	na	JAEOAB010000319.1	=	NW_024873022.1	Primary Assembly	22688	na
S000000275	unplaced-scaffold	na	na	JAEOAB010000320.1	=	NW_024873023.1	Primary Assembly	20646	na
S000000276	unplaced-scaffold	na	na	JAEOAB010000321.1	=	NW_024873024.1	Primary Assembly	20960	na
S000000277	unplaced-scaffold	na	na	JAEOAB010000322.1	=	NW_024873025.1	Primary Assembly	21486	na
S000000278	unplaced-scaffold	na	na	JAEOAB010000323.1	=	NW_024873026.1	Primary Assembly	20236	na
S000000279	unplaced-scaffold	na	na	JAEOAB010000324.1	=	NW_024873027.1	Primary Assembly	20224	na
S000000280	unplaced-scaffold	na	na	JAEOAB010000325.1	=	NW_024873028.1	Primary Assembly	5665	na
S000000281	unplaced-scaffold	na	na	JAEOAB010000326.1	=	NW_024873029.1	Primary Assembly	4011	na
S000000282	unplaced-scaffold	na	na	JAEOAB010000327.1	=	NW_024873030.1	Primary Assembly	9349	na
S000000283	unplaced-scaffold	na	na	JAEOAB010000328.1	=	NW_024873031.1	Primary Assembly	18172	na
S000000284	unplaced-scaffold	na	na	JAEOAB010000329.1	=	NW_024873032.1	Primary Assembly	17263	na
S000000285	unplaced-scaffold	na	na	JAEOAB010000330.1	=	NW_024873033.1	Primary Assembly	14962	na
S000000286	unplaced-scaffold	na	na	JAEOAB010000331.1	=	NW_024873034.1	Primary Assembly	16976	na
S000000287	unplaced-scaffold	na	na	JAEOAB010000332.1	=	NW_024873035.1	Primary Assembly	16728	na
S000000288	unplaced-scaffold	na	na	JAEOAB010000333.1	=	NW_024873036.1	Primary Assembly	15934	na
S000000289	unplaced-scaffold	na	na	JAEOAB010000334.1	=	NW_024873037.1	Primary Assembly	16777	na
S000000290	unplaced-scaffold	na	na	JAEOAB010000335.1	=	NW_024873038.1	Primary Assembly	754	na
S000000291	unplaced-scaffold	na	na	JAEOAB010000336.1	=	NW_024873039.1	Primary Assembly	22854	na
S000000292	unplaced-scaffold	na	na	JAEOAB010000337.1	=	NW_024873040.1	Primary Assembly	16271	na
S000000293	unplaced-scaffold	na	na	JAEOAB010000338.1	=	NW_024873041.1	Primary Assembly	4992	na
S000000294	unplaced-scaffold	na	na	JAEOAB010000339.1	=	NW_024873042.1	Primary Assembly	20184	na
S000000295	unplaced-scaffold	na	na	JAEOAB010000340.1	=	NW_024873043.1	Primary Assembly	14827	na
S000000296	unplaced-scaffold	na	na	JAEOAB010000341.1	=	NW_024873044.1	Primary Assembly	13601	na
S000000297	unplaced-scaffold	na	na	JAEOAB010000342.1	=	NW_024873045.1	Primary Assembly	4147	na
S000000299	unplaced-scaffold	na	na	JAEOAB010000343.1	=	NW_024873046.1	Primary Assembly	13467	na
S000000300	unplaced-scaffold	na	na	JAEOAB010000344.1	=	NW_024873047.1	Primary Assembly	14146	na
S000000301	unplaced-scaffold	na	na	JAEOAB010000345.1	=	NW_024873048.1	Primary Assembly	12225	na
S000000302	unplaced-scaffold	na	na	JAEOAB010000346.1	=	NW_024873049.1	Primary Assembly	10029	na
S000000303	unplaced-scaffold	na	na	JAEOAB010000347.1	=	NW_024873050.1	Primary Assembly	12568	na
S000000304	unplaced-scaffold	na	na	JAEOAB010000348.1	=	NW_024873051.1	Primary Assembly	10368	na
S000000305	unplaced-scaffold	na	na	JAEOAB010000349.1	=	NW_024873052.1	Primary Assembly	10836	na
S000000306	unplaced-scaffold	na	na	JAEOAB010000350.1	=	NW_024873053.1	Primary Assembly	3888	na
S000000307	unplaced-scaffold	na	na	JAEOAB010000351.1	=	NW_024873054.1	Primary Assembly	1917	na
S000000309	unplaced-scaffold	na	na	JAEOAB010000352.1	=	NW_024873055.1	Primary Assembly	6356	na
S000000310	unplaced-scaffold	na	na	JAEOAB010000353.1	=	NW_024873056.1	Primary Assembly	1132	na
S000000311	unplaced-scaffold	na	na	JAEOAB010000354.1	=	NW_024873057.1	Primary Assembly	9618	na
S000000312	unplaced-scaffold	na	na	JAEOAB010000355.1	=	NW_024873058.1	Primary Assembly	8330	na
S000000313	unplaced-scaffold	na	na	JAEOAB010000356.1	=	NW_024873059.1	Primary Assembly	9222	na
S000000314	unplaced-scaffold	na	na	JAEOAB010000357.1	=	NW_024873060.1	Primary Assembly	4769	na
S000000315	unplaced-scaffold	na	na	JAEOAB010000358.1	=	NW_024873061.1	Primary Assembly	3986	na
S000000316	unplaced-scaffold	na	na	JAEOAB010000359.1	=	NW_024873062.1	Primary Assembly	6739	na
S000000317	unplaced-scaffold	na	na	JAEOAB010000360.1	=	NW_024873063.1	Primary Assembly	6571	na
S000000318	unplaced-scaffold	na	na	JAEOAB010000361.1	=	NW_024873064.1	Primary Assembly	5888	na
S000000319	unplaced-scaffold	na	na	JAEOAB010000362.1	=	NW_024873065.1	Primary Assembly	11225	na
S000000320	unplaced-scaffold	na	na	JAEOAB010000363.1	=	NW_024873066.1	Primary Assembly	2205	na
S000000321	unplaced-scaffold	na	na	JAEOAB010000364.1	=	NW_024873067.1	Primary Assembly	3358	na
S000000322	unplaced-scaffold	na	na	JAEOAB010000365.1	=	NW_024873068.1	Primary Assembly	2555	na
S000000323	unplaced-scaffold	na	na	JAEOAB010000366.1	=	NW_024873069.1	Primary Assembly	15865	na
S000000324	unplaced-scaffold	na	na	JAEOAB010000367.1	=	NW_024873070.1	Primary Assembly	18918	na
S000000325	unplaced-scaffold	na	na	JAEOAB010000368.1	=	NW_024873071.1	Primary Assembly	135871	na
S000000326	unplaced-scaffold	na	na	JAEOAB010000369.1	=	NW_024873072.1	Primary Assembly	32768	na
S000000327	unplaced-scaffold	na	na	JAEOAB010000370.1	=	NW_024873073.1	Primary Assembly	1932	na
S000000328	unplaced-scaffold	na	na	JAEOAB010000371.1	=	NW_024873074.1	Primary Assembly	2702	na
S000000329	unplaced-scaffold	na	na	JAEOAB010000372.1	=	NW_024873075.1	Primary Assembly	5118	na
S000000330	unplaced-scaffold	na	na	JAEOAB010000373.1	=	NW_024873076.1	Primary Assembly	3331	na
S000000331	unplaced-scaffold	na	na	JAEOAB010000374.1	=	NW_024873077.1	Primary Assembly	2095	na
S000000332	unplaced-scaffold	na	na	JAEOAB010000375.1	=	NW_024873078.1	Primary Assembly	1759	na
S000000333	unplaced-scaffold	na	na	JAEOAB010000376.1	=	NW_024873079.1	Primary Assembly	2602	na
S000000334	unplaced-scaffold	na	na	JAEOAB010000377.1	=	NW_024873080.1	Primary Assembly	4561	na
S000000335	unplaced-scaffold	na	na	JAEOAB010000378.1	=	NW_024873081.1	Primary Assembly	3403	na
S000000336	unplaced-scaffold	na	na	JAEOAB010000379.1	=	NW_024873082.1	Primary Assembly	1914	na
S000000337	unplaced-scaffold	na	na	JAEOAB010000380.1	=	NW_024873083.1	Primary Assembly	2346	na
S000000338	unplaced-scaffold	na	na	JAEOAB010000381.1	=	NW_024873084.1	Primary Assembly	1721	na
S000000339	unplaced-scaffold	na	na	JAEOAB010000382.1	=	NW_024873085.1	Primary Assembly	9962	na
S000000340	unplaced-scaffold	na	na	JAEOAB010000383.1	=	NW_024873086.1	Primary Assembly	1933	na
S000000341	unplaced-scaffold	na	na	JAEOAB010000384.1	=	NW_024873087.1	Primary Assembly	2262	na
S000000342	unplaced-scaffold	na	na	JAEOAB010000385.1	=	NW_024873088.1	Primary Assembly	2198	na
S000000343	unplaced-scaffold	na	na	JAEOAB010000386.1	=	NW_024873089.1	Primary Assembly	2220	na
S000000344	unplaced-scaffold	na	na	JAEOAB010000387.1	=	NW_024873090.1	Primary Assembly	3379	na
S000000345	unplaced-scaffold	na	na	JAEOAB010000388.1	=	NW_024873091.1	Primary Assembly	8089	na
S000000346	unplaced-scaffold	na	na	JAEOAB010000389.1	=	NW_024873092.1	Primary Assembly	1947	na
S000000347	unplaced-scaffold	na	na	JAEOAB010000390.1	=	NW_024873093.1	Primary Assembly	30948	na
S000000348	unplaced-scaffold	na	na	JAEOAB010000391.1	=	NW_024873094.1	Primary Assembly	18962	na
S000000349	unplaced-scaffold	na	na	JAEOAB010000392.1	=	NW_024873095.1	Primary Assembly	57325	na
S000000350	unplaced-scaffold	na	na	JAEOAB010000393.1	=	NW_024873096.1	Primary Assembly	110597	na
S000000351	unplaced-scaffold	na	na	JAEOAB010000394.1	=	NW_024873097.1	Primary Assembly	25804	na
S000000352	unplaced-scaffold	na	na	JAEOAB010000395.1	=	NW_024873098.1	Primary Assembly	21913	na
S000000353	unplaced-scaffold	na	na	JAEOAB010000396.1	=	NW_024873099.1	Primary Assembly	25155	na
S000000354	unplaced-scaffold	na	na	JAEOAB010000397.1	=	NW_024873100.1	Primary Assembly	17320	na
S000000355	unplaced-scaffold	na	na	JAEOAB010000398.1	=	NW_024873101.1	Primary Assembly	27392	na
S000000356	unplaced-scaffold	na	na	JAEOAB010000399.1	=	NW_024873102.1	Primary Assembly	9555	na
S000000357	unplaced-scaffold	na	na	JAEOAB010000400.1	=	NW_024873103.1	Primary Assembly	16537	na
S000000358	unplaced-scaffold	na	na	JAEOAB010000401.1	=	NW_024873104.1	Primary Assembly	593	na
S000000359	unplaced-scaffold	na	na	JAEOAB010000402.1	=	NW_024873105.1	Primary Assembly	23652	na
S000000362	unplaced-scaffold	na	na	JAEOAB010000403.1	=	NW_024873106.1	Primary Assembly	21674	na
S000000363	unplaced-scaffold	na	na	JAEOAB010000404.1	=	NW_024873107.1	Primary Assembly	3083	na
S000000364	unplaced-scaffold	na	na	JAEOAB010000405.1	=	NW_024873108.1	Primary Assembly	26273	na
S000000365	unplaced-scaffold	na	na	JAEOAB010000406.1	=	NW_024873109.1	Primary Assembly	6950	na
S000000366	unplaced-scaffold	na	na	JAEOAB010000407.1	=	NW_024873110.1	Primary Assembly	11057	na
S000000367	unplaced-scaffold	na	na	JAEOAB010000408.1	=	NW_024873111.1	Primary Assembly	5317	na
S000000368	unplaced-scaffold	na	na	JAEOAB010000409.1	=	NW_024873112.1	Primary Assembly	18408	na
S000000369	unplaced-scaffold	na	na	JAEOAB010000410.1	=	NW_024873113.1	Primary Assembly	1386	na
S000000370	unplaced-scaffold	na	na	JAEOAB010000411.1	=	NW_024873114.1	Primary Assembly	14895	na
S000000371	unplaced-scaffold	na	na	JAEOAB010000412.1	=	NW_024873115.1	Primary Assembly	36901	na
S000000372	unplaced-scaffold	na	na	JAEOAB010000413.1	=	NW_024873116.1	Primary Assembly	22524	na
S000000373	unplaced-scaffold	na	na	JAEOAB010000414.1	=	NW_024873117.1	Primary Assembly	11639	na
S000000374	unplaced-scaffold	na	na	JAEOAB010000415.1	=	NW_024873118.1	Primary Assembly	21306	na
S000000376	unplaced-scaffold	na	na	JAEOAB010000416.1	=	NW_024873119.1	Primary Assembly	2936	na
S000000377	unplaced-scaffold	na	na	JAEOAB010000417.1	=	NW_024873120.1	Primary Assembly	224	na
S000000378	unplaced-scaffold	na	na	JAEOAB010000418.1	=	NW_024873121.1	Primary Assembly	12062	na
S000000379	unplaced-scaffold	na	na	JAEOAB010000419.1	=	NW_024873122.1	Primary Assembly	12765	na
S000000380	unplaced-scaffold	na	na	JAEOAB010000420.1	=	NW_024873123.1	Primary Assembly	18744	na
S000000381	unplaced-scaffold	na	na	JAEOAB010000421.1	=	NW_024873124.1	Primary Assembly	14472	na
S000000382	unplaced-scaffold	na	na	JAEOAB010000422.1	=	NW_024873125.1	Primary Assembly	20096	na
S000000383	unplaced-scaffold	na	na	JAEOAB010000423.1	=	NW_024873126.1	Primary Assembly	10106	na
S000000384	unplaced-scaffold	na	na	JAEOAB010000424.1	=	NW_024873127.1	Primary Assembly	2717	na
S000000385	unplaced-scaffold	na	na	JAEOAB010000425.1	=	NW_024873128.1	Primary Assembly	20456	na
S000000386	unplaced-scaffold	na	na	JAEOAB010000426.1	=	NW_024873129.1	Primary Assembly	2088	na
S000000387	unplaced-scaffold	na	na	JAEOAB010000427.1	=	NW_024873130.1	Primary Assembly	1474	na
S000000388	unplaced-scaffold	na	na	JAEOAB010000428.1	=	NW_024873131.1	Primary Assembly	1893	na
S000000389	unplaced-scaffold	na	na	JAEOAB010000429.1	=	NW_024873132.1	Primary Assembly	4650	na
S000000390	unplaced-scaffold	na	na	JAEOAB010000430.1	=	NW_024873133.1	Primary Assembly	2615	na
S000000391	unplaced-scaffold	na	na	JAEOAB010000431.1	=	NW_024873134.1	Primary Assembly	2229	na
S000000392	unplaced-scaffold	na	na	JAEOAB010000432.1	=	NW_024873135.1	Primary Assembly	8533	na
S000000393	unplaced-scaffold	na	na	JAEOAB010000433.1	=	NW_024873136.1	Primary Assembly	1726	na
S000000394	unplaced-scaffold	na	na	JAEOAB010000434.1	=	NW_024873137.1	Primary Assembly	2261	na
S000000395	unplaced-scaffold	na	na	JAEOAB010000435.1	=	NW_024873138.1	Primary Assembly	5382	na
S000000396	unplaced-scaffold	na	na	JAEOAB010000436.1	=	NW_024873139.1	Primary Assembly	14050	na
S000000397	unplaced-scaffold	na	na	JAEOAB010000437.1	=	NW_024873140.1	Primary Assembly	10413	na
S000000398	unplaced-scaffold	na	na	JAEOAB010000438.1	=	NW_024873141.1	Primary Assembly	12425	na
S000000399	unplaced-scaffold	na	na	JAEOAB010000439.1	=	NW_024873142.1	Primary Assembly	1871	na
S000000400	unplaced-scaffold	na	na	JAEOAB010000440.1	=	NW_024873143.1	Primary Assembly	1998	na
S000000401	unplaced-scaffold	na	na	JAEOAB010000441.1	=	NW_024873144.1	Primary Assembly	8871	na
S000000402	unplaced-scaffold	na	na	JAEOAB010000442.1	=	NW_024873145.1	Primary Assembly	28672	na
S000000403	unplaced-scaffold	na	na	JAEOAB010000443.1	=	NW_024873146.1	Primary Assembly	3920	na
S000000404	unplaced-scaffold	na	na	JAEOAB010000444.1	=	NW_024873147.1	Primary Assembly	1351	na
S000000405	unplaced-scaffold	na	na	JAEOAB010000445.1	=	NW_024873148.1	Primary Assembly	1182	na
S000000406	unplaced-scaffold	na	na	JAEOAB010000446.1	=	NW_024873149.1	Primary Assembly	4156	na
S000000407	unplaced-scaffold	na	na	JAEOAB010000447.1	=	NW_024873150.1	Primary Assembly	3433	na
S000000408	unplaced-scaffold	na	na	JAEOAB010000448.1	=	NW_024873151.1	Primary Assembly	8814	na
S000000409	unplaced-scaffold	na	na	JAEOAB010000449.1	=	NW_024873152.1	Primary Assembly	5712	na
S000000410	unplaced-scaffold	na	na	JAEOAB010000450.1	=	NW_024873153.1	Primary Assembly	7441	na
S000000411	unplaced-scaffold	na	na	JAEOAB010000451.1	=	NW_024873154.1	Primary Assembly	1649	na
S000000412	unplaced-scaffold	na	na	JAEOAB010000452.1	=	NW_024873155.1	Primary Assembly	1466	na
S000000413	unplaced-scaffold	na	na	JAEOAB010000453.1	=	NW_024873156.1	Primary Assembly	2238	na
S000000414	unplaced-scaffold	na	na	JAEOAB010000454.1	=	NW_024873157.1	Primary Assembly	1228	na
S000000415	unplaced-scaffold	na	na	JAEOAB010000455.1	=	NW_024873158.1	Primary Assembly	5281	na
S000000416	unplaced-scaffold	na	na	JAEOAB010000456.1	=	NW_024873159.1	Primary Assembly	5934	na
S000000417	unplaced-scaffold	na	na	JAEOAB010000457.1	=	NW_024873160.1	Primary Assembly	85728	na
S000000418	unplaced-scaffold	na	na	JAEOAB010000458.1	=	NW_024873161.1	Primary Assembly	2439	na
S000000419	unplaced-scaffold	na	na	JAEOAB010000459.1	=	NW_024873162.1	Primary Assembly	6006	na
S000000420	unplaced-scaffold	na	na	JAEOAB010000460.1	=	NW_024873163.1	Primary Assembly	31062	na
S000000421	unplaced-scaffold	na	na	JAEOAB010000461.1	=	NW_024873164.1	Primary Assembly	23614	na
S000000422	unplaced-scaffold	na	na	JAEOAB010000462.1	=	NW_024873165.1	Primary Assembly	28287	na
S000000423	unplaced-scaffold	na	na	JAEOAB010000463.1	=	NW_024873166.1	Primary Assembly	26820	na
S000000424	unplaced-scaffold	na	na	JAEOAB010000464.1	=	NW_024873167.1	Primary Assembly	28289	na
S000000425	unplaced-scaffold	na	na	JAEOAB010000465.1	=	NW_024873168.1	Primary Assembly	24397	na
S000000426	unplaced-scaffold	na	na	JAEOAB010000466.1	=	NW_024873169.1	Primary Assembly	26107	na
S000000427	unplaced-scaffold	na	na	JAEOAB010000467.1	=	NW_024873170.1	Primary Assembly	25465	na
S000000428	unplaced-scaffold	na	na	JAEOAB010000468.1	=	NW_024873171.1	Primary Assembly	24966	na
S000000429	unplaced-scaffold	na	na	JAEOAB010000469.1	=	NW_024873172.1	Primary Assembly	6289	na
